mutant,operator,info,status
 453,CRP,nayajson:189,+survived
 454,CRP,nayajson:189,+survived
 455,CRP,nayajson:191,killed by test_objects
 456,CRP,nayajson:191,killed by test_objects
 457,CRP,nayajson:196,+survived
 458,CRP,nayajson:196,+survived
 459,CRP,nayajson:198,killed by test_objects
 460,CRP,nayajson:198,killed by test_objects
 461,CRP,nayajson:201,+survived
 462,CRP,nayajson:201,+survived
 463,CRP,nayajson:203,killed by test_objects
 464,CRP,nayajson:203,killed by test_objects
 465,CRP,nayajson:206,+survived
 466,CRP,nayajson:206,+survived
 467,CRP,nayajson:208,killed by test_objects
 468,CRP,nayajson:208,killed by test_objects
 469,CRP,nayajson:213,+survived
 470,CRP,nayajson:213,+survived
 471,CRP,nayajson:215,killed by test_arrays
 472,CRP,nayajson:215,killed by test_arrays
 473,CRP,nayajson:217,killed by test_arrays
 474,CRP,nayajson:219,killed by test_string_parsing
 475,CRP,nayajson:219,killed by test_string_parsing
 476,CRP,nayajson:228,+survived
 477,CRP,nayajson:228,+survived
 478,CRP,nayajson:231,+survived
 479,CRP,nayajson:231,+survived
 480,CRP,nayajson:231,killed by test_string_parsing
 481,CRP,nayajson:231,killed by test_string_parsing
 482,CRP,nayajson:233,killed by test_string_parsing
 483,CRP,nayajson:233,killed by test_string_parsing
 484,CRP,nayajson:234,killed by test_string_parsing
 485,CRP,nayajson:234,killed by test_string_parsing
 486,CRP,nayajson:236,killed by test_string_parsing
 487,CRP,nayajson:236,killed by test_string_parsing
 488,CRP,nayajson:237,killed by test_string_parsing
 489,CRP,nayajson:237,killed by test_string_parsing
 490,CRP,nayajson:239,killed by test_string_parsing
 491,CRP,nayajson:239,killed by test_string_parsing
 492,CRP,nayajson:240,killed by test_string_parsing
 493,CRP,nayajson:240,killed by test_string_parsing
 494,CRP,nayajson:242,killed by test_string_parsing
 495,CRP,nayajson:242,killed by test_string_parsing
 496,CRP,nayajson:243,killed by test_string_parsing
 497,CRP,nayajson:243,killed by test_string_parsing
 498,CRP,nayajson:245,+survived
 499,CRP,nayajson:245,+survived
 500,CRP,nayajson:246,+survived
 501,CRP,nayajson:246,+survived
 502,CRP,nayajson:248,killed by test_string_parsing
 503,CRP,nayajson:248,killed by test_string_parsing
 504,CRP,nayajson:249,killed by test_string_parsing
 505,CRP,nayajson:249,killed by test_string_parsing
 506,CRP,nayajson:251,killed by test_string_parsing
 507,CRP,nayajson:251,killed by test_string_parsing
 508,CRP,nayajson:253,+survived
 509,CRP,nayajson:255,+survived
